"","Country","Output","Industry","Top","Input","Correlation","Oppotunities","nombre clients corr","Rapport","tests input"
"275","France","S100","Gov","top4","Syphilis","0.74780845640226","46","7","0.0734",114103
"276","France","S100","Gov","top5","Anti-HCV","0.633469950641701","72","8","0.0425",253500
"277","France","SCC","Gov","base","CA 15-3","-0.419241419470265","71","3","0.136",21392
"278","France","SCC","Gov","top1",NA,NA,NA,NA,NA,NA
"279","France","SCC","Gov","top2",NA,NA,NA,NA,NA,NA
"280","France","SCC","Gov","top3",NA,NA,NA,NA,NA,NA
"281","France","SCC","Gov","top4",NA,NA,NA,NA,NA,NA
"282","France","SCC","Gov","top5",NA,NA,NA,NA,NA,NA
"283","France","T4","Gov","base",NA,NA,NA,NA,NA,NA
"284","France","T4","Gov","top1",NA,NA,NA,NA,NA,NA
"285","France","T4","Gov","top2",NA,NA,NA,NA,NA,NA
"286","France","T4","Gov","top3",NA,NA,NA,NA,NA,NA
"287","France","T4","Gov","top4",NA,NA,NA,NA,NA,NA
"288","France","T4","Gov","top5",NA,NA,NA,NA,NA,NA
"289","France","Tacrolimus","Gov","base","PTH","0.692215127495503","61","4","0.1227",114935
"290","France","Tacrolimus","Gov","top1",NA,NA,NA,NA,NA,NA
"291","France","Tacrolimus","Gov","top2",NA,NA,NA,NA,NA,NA
"292","France","Tacrolimus","Gov","top3",NA,NA,NA,NA,NA,NA
"293","France","Tacrolimus","Gov","top4",NA,NA,NA,NA,NA,NA
"294","France","Tacrolimus","Gov","top5",NA,NA,NA,NA,NA,NA
